id,nome,categoria,numeri,note
1,Cardiochirurgo,GUARDIE E URGENZE,3119,
2,Cardiologo,GUARDIE E URGENZE,3111,
3,Cardiologia UTIC,GUARDIE E URGENZE,3126|4444,|
4,Cardiologo PS,GUARDIE E URGENZE,3478,
5,Chirurgo generale,GUARDIE E URGENZE,3181|3182,|
6,Chirurgo maxillo-facciale,GUARDIE E URGENZE,3189,
7,Chirurgo toracico,GUARDIE E URGENZE,3246,reperibile consulenze
8,Chirurgo vascolare,GUARDIE E URGENZE,3138,
9,Chirurgo vascolare,GUARDIE E URGENZE,3139,specializzando
10,Chirurgo vertebrale,GUARDIE E URGENZE,3202,
11,Columbus,GUARDIE E URGENZE,9913,
12,Ematologo,GUARDIE E URGENZE,3129|3114,|sangue
13,Ematologia emocromo urgente,GUARDIE E URGENZE,8284|3129,|
14,Ematologia urgenze,GUARDIE E URGENZE,5010|4658|3114,||sangue
15,Endoscopista,GUARDIE E URGENZE,3489,
16,Farmacia reperibile De Luca,GUARDIE E URGENZE,3891844623,
17,Ginecologo,GUARDIE E URGENZE,3147|3109,|sala parto
18,Infettivologo,GUARDIE E URGENZE,3113,
19,Interna turno A,GUARDIE E URGENZE,3100,
20,Interna turno B,GUARDIE E URGENZE,3101,
21,Interna turno C,GUARDIE E URGENZE,3387,
22,Laboratorio urgenze,GUARDIE E URGENZE,3120|3163|3569|8284,|||
23,Microbiologia,GUARDIE E URGENZE,4218|4964,|servizio ed emocolture
24,Nefrologo,GUARDIE E URGENZE,3135,dialisi
25,Neurochirurgo,GUARDIE E URGENZE,3110,
26,Neurologo,GUARDIE E URGENZE,3115|3925,|specializzandi
27,Neurologia stroke,GUARDIE E URGENZE,3174|3175,PS|specializzandi dopo le 17
28,NPI,GUARDIE E URGENZE,3159,
29,Oculista,GUARDIE E URGENZE,3130,
30,Ortopedico,GUARDIE E URGENZE,3121|3141|4837,|spec rep|PS
31,Otorino,GUARDIE E URGENZE,3116,
32,Pediatra,GUARDIE E URGENZE,3117,
33,Psichiatra,GUARDIE E URGENZE,3124,
34,Radiologia angiografica/interventistica,GUARDIE E URGENZE,3204|4675|6268,||
35,Radiologia urgenze,GUARDIE E URGENZE,3136,
36,Radioterapia,GUARDIE E URGENZE,3155,
37,Reumatologi DECT,GUARDIE E URGENZE,3359,
38,Rianimatore,GUARDIE E URGENZE,4490|3112,|
39,Rianimatore guardia,GUARDIE E URGENZE,5556,
40,Sala operatoria urgenze,GUARDIE E URGENZE,6536,
41,Stroke,GUARDIE E URGENZE,3174|3175,ps|specializzandi dopo le 17
42,Torace a letto,GUARDIE E URGENZE,3136,DECT tecnico
43,Urologia,GUARDIE E URGENZE,3123,
44,Acampora Nicola,DECT STRUTTURATI,3276,
45,Addolorato,DECT STRUTTURATI,5650|9212,|
46,Anile,DECT STRUTTURATI,5538,
47,Annetta,DECT STRUTTURATI,3509,
48,Betta,DECT STRUTTURATI,4217|6265,|
49,Barillaro,DECT STRUTTURATI,3704|3190,|
50,Bianco,DECT STRUTTURATI,7929,consulente neurologa
51,Bonomo,DECT STRUTTURATI,3204,
52,Candelli,DECT STRUTTURATI,3161,
53,Capalbo,DECT STRUTTURATI,3281,direttore sanitario
54,Caputo,DECT STRUTTURATI,3130,
55,Cerolini,DECT STRUTTURATI,5480,
56,Colosimo,DECT STRUTTURATI,3230,
57,D'Ercole,DECT STRUTTURATI,5030,
58,De Cristofaro,DECT STRUTTURATI,3137,
59,Di Gennaro,DECT STRUTTURATI,3498687619|6329,|
60,De Cosmo,DECT STRUTTURATI,3166,
61,De Candia,DECT STRUTTURATI,6329,
62,De Gaetano,DECT STRUTTURATI,3356784944,
63,Di Gianbenedetto,DECT STRUTTURATI,5384,
64,Di Donato,DECT STRUTTURATI,9951,
65,Doglietto studio,DECT STRUTTURATI,0635340460|0635340530,|
66,Draisci,DECT STRUTTURATI,3721,anestesista
67,Evoli,DECT STRUTTURATI,6366,
68,Fantoni,DECT STRUTTURATI,8532|8533,|
69,Fasciani,DECT STRUTTURATI,5429|6080,|stanza cornea
70,Favuzzi,DECT STRUTTURATI,6277,ecocardio
71,Fenici,DECT STRUTTURATI,4803,
72,Ferri,DECT STRUTTURATI,9925,
73,Franceschi,DECT STRUTTURATI,3290914553|3227,|
74,Gambaro,DECT STRUTTURATI,3465111412,
75,Gambassi,DECT STRUTTURATI,3241,2P
76,Gesi,DECT STRUTTURATI,5496|5498,|
77,Giordano,DECT STRUTTURATI,3228|4978|4600,dect||
78,Grieco,DECT STRUTTURATI,5451,
79,Iezzi,DECT STRUTTURATI,4675,
80,Infante,DECT STRUTTURATI,9570,Radiologia CIC
81,Izzo,DECT STRUTTURATI,8063,
82,Landolfi,DECT STRUTTURATI,3207,
83,Lanzone,DECT STRUTTURATI,3220,
84,Laurenti,DECT STRUTTURATI,3386743846,
85,Luongo,DECT STRUTTURATI,3285,ispettore sanitario
86,Masucci,DECT STRUTTURATI,4964,micro
87,Maccauro,DECT STRUTTURATI,3290,
88,Maiuro,DECT STRUTTURATI,4421|5375,|
89,Mariotti,DECT STRUTTURATI,4013,
90,Marrone,DECT STRUTTURATI,5451|3205393043,|
91,Marchese,DECT STRUTTURATI,4841,
92,Montalto,DECT STRUTTURATI,5948|3396072211,|
93,Montano,DECT STRUTTURATI,5032,
94,Mormile,DECT STRUTTURATI,9779|9678,|
95,Mottola,DECT STRUTTURATI,3732,
96,Sarganello,DECT STRUTTURATI,5976,oculista
97,Padua reparto,DECT STRUTTURATI,3338,
98,Panocchia,DECT STRUTTURATI,3135,dialisi
99,Perilli,DECT STRUTTURATI,3212,anestesista
100,Perini,DECT STRUTTURATI,3367,
101,Perri,DECT STRUTTURATI,4744,CPRE
102,Pignataro,DECT STRUTTURATI,3283,ispettore sanitario
103,Pirronti,DECT STRUTTURATI,9837,Radiologia CIC
104,Pola,DECT STRUTTURATI,7075|5314,|
105,Pola ortopedico,DECT STRUTTURATI,3402636062,
106,Rendeli,DECT STRUTTURATI,5624,
107,Riccardi,DECT STRUTTURATI,5161|4301,|
108,Rossi,DECT STRUTTURATI,3288,tp dolore
109,Soave,DECT STRUTTURATI,3372,antiveleni
110,Sollazzi,DECT STRUTTURATI,3166|3212,|
111,Sganga palliative,DECT STRUTTURATI,3706,
112,Tacconelli,DECT STRUTTURATI,5527,
113,Torrice,DECT STRUTTURATI,3240,
114,Turriziani,DECT STRUTTURATI,3190,
115,Valentini,DECT STRUTTURATI,3216,
116,Valenza,DECT STRUTTURATI,4634,
117,Vetrugno,DECT STRUTTURATI,4987,risk.management@pol
118,Vecchioli,DECT STRUTTURATI,3268,
119,Volpe,DECT STRUTTURATI,3293,
120,Zampino,DECT STRUTTURATI,5210,
121,DH med interna,DH,5591|4845,|
122,DH diabetologia,DH,4112,
123,DH ematologia,DH,6414|6423|6425|5137|5390|4344,|||||
124,DH endocrinochirurgia,DH,5327|6671,|
125,DH ginecologia,DH,8556,
126,DH neurologia,DH,5390,
127,DH NPI,DH,6391,
128,DH oncologia,DH,6682|6318,|
129,DH patologia obesità,DH,4963,
130,2R,REPARTI,9758,
131,3P,REPARTI,4414|4832,|
